0,r,0.02,0.909,0.06,0,0.1,0,0.14,0,0.18,0,0.22,0,0.26,0,0.3,0,0.34,0,0.38,0,0.42,0,0.46,0,0.5,0,0.54,0,0.58,0,0.62,0,0.66,0,0.7,0,0.74,0,0.78,0,0.82,0,0.86,0,0.9,0,0.94,0,0.98,0,1.02,0.09,1.06,0,1.1,0,1.14,0,1.18,0,1.22,0,1.26,0,1.3,0,1.34,0,1.38,0,1.42,0,1.46,0,1.5,0,1.54,0,1.58,0,1.62,0,1.66,0,1.7,0,1.74,0,1.78,0,1.82,0,1.86,0,1.9,0,1.94,0,1.98,0.001
30,g,7.09,0.007,7.27,0,7.45,0,7.63,0,7.81,0,7.99,0.034,8.17,0,8.35,0,8.53,0,8.71,0,8.89,0,9.07,0.049,9.25,0,9.43,0,9.61,0,9.79,0,9.97,0.146,10.15,0,10.33,0,10.51,0,10.69,0,10.87,0,11.05,0.181,11.23,0,11.41,0,11.59,0,11.77,0,11.95,0.214,12.13,0,12.31,0,12.49,0,12.67,0,12.85,0,13.03,0.183,13.21,0,13.39,0,13.57,0,13.75,0,13.93,0.126,14.11,0,14.29,0,14.47,0,14.65,0,14.83,0,15.01,0.048,15.19,0,15.37,0,15.55,0,15.73,0,15.91,0.012
60,b,17.09,0.006,17.27,0,17.45,0,17.63,0,17.81,0,17.99,0.021,18.17,0,18.35,0,18.53,0,18.71,0,18.89,0,19.07,0.057,19.25,0,19.43,0,19.61,0,19.79,0,19.97,0.125,20.15,0,20.33,0,20.51,0,20.69,0,20.87,0,21.05,0.225,21.23,0,21.41,0,21.59,0,21.77,0,21.95,0.218,22.13,0,22.31,0,22.49,0,22.67,0,22.85,0,23.03,0.208,23.21,0,23.39,0,23.57,0,23.75,0,23.93,0.103,24.11,0,24.29,0,24.47,0,24.65,0,24.83,0,25.01,0.028,25.19,0,25.37,0,25.55,0,25.73,0,25.91,0.009
90,m,26.1,0.001,26.3,0,26.5,0,26.7,0,26.9,0,27.1,0.006,27.3,0,27.5,0,27.7,0,27.9,0,28.1,0.02,28.3,0,28.5,0,28.7,0,28.9,0,29.1,0.063,29.3,0,29.5,0,29.7,0,29.9,0,30.1,0.15,30.3,0,30.5,0,30.7,0,30.9,0,31.1,0.285,31.3,0,31.5,0,31.7,0,31.9,0,32.1,0.237,32.3,0,32.5,0,32.7,0,32.9,0,33.1,0.154,33.3,0,33.5,0,33.7,0,33.9,0,34.1,0.053,34.3,0,34.5,0,34.7,0,34.9,0,35.1,0.029,35.3,0,35.5,0,35.7,0,35.9,0.002
120,k,36.09,0.001,36.27,0,36.45,0,36.63,0,36.81,0,36.99,0.019,37.17,0,37.35,0,37.53,0,37.71,0,37.89,0,38.07,0.027,38.25,0,38.43,0,38.61,0,38.79,0,38.97,0.088,39.15,0,39.33,0,39.51,0,39.69,0,39.87,0,40.05,0.224,40.23,0,40.41,0,40.59,0,40.77,0,40.95,0.294,41.13,0,41.31,0,41.49,0,41.67,0,41.85,0,42.03,0.195,42.21,0,42.39,0,42.57,0,42.75,0,42.93,0.089,43.11,0,43.29,0,43.47,0,43.65,0,43.83,0,44.01,0.046,44.19,0,44.37,0,44.55,0,44.73,0,44.91,0.017
150,r,44.1,0.002,44.3,0,44.5,0,44.7,0,44.9,0,45.1,0.006,45.3,0,45.5,0,45.7,0,45.9,0,46.1,0.023,46.3,0,46.5,0,46.7,0,46.9,0,47.1,0.027,47.3,0,47.5,0,47.7,0,47.9,0,48.1,0.083,48.3,0,48.5,0,48.7,0,48.9,0,49.1,0.245,49.3,0,49.5,0,49.7,0,49.9,0,50.1,0.251,50.3,0,50.5,0,50.7,0,50.9,0,51.1,0.226,51.3,0,51.5,0,51.7,0,51.9,0,52.1,0.081,52.3,0,52.5,0,52.7,0,52.9,0,53.1,0.05,53.3,0,53.5,0,53.7,0,53.9,0.006
180,g,52.08,0.004,52.24,0,52.4,0,52.56,0,52.72,0,52.88,0,53.04,0.006,53.2,0,53.36,0,53.52,0,53.68,0,53.84,0,54,0.008,54.16,0,54.32,0,54.48,0,54.64,0,54.8,0,54.96,0.045,55.12,0,55.28,0,55.44,0,55.6,0,55.76,0,55.92,0,56.08,0.093,56.24,0,56.4,0,56.56,0,56.72,0,56.88,0,57.04,0.22,57.2,0,57.36,0,57.52,0,57.68,0,57.84,0,58,0.314,58.16,0,58.32,0,58.48,0,58.64,0,58.8,0,58.96,0.25,59.12,0,59.28,0,59.44,0,59.6,0,59.76,0,59.92,0.06
210,b,59.09,0.001,59.27,0,59.45,0,59.63,0,59.81,0,59.99,0.007,60.17,0,60.35,0,60.53,0,60.71,0,60.89,0,61.07,0.012,61.25,0,61.43,0,61.61,0,61.79,0,61.97,0.131,62.15,0,62.33,0,62.51,0,62.69,0,62.87,0,63.05,0.26,63.23,0,63.41,0,63.59,0,63.77,0,63.95,0.209,64.13,0,64.31,0,64.49,0,64.67,0,64.85,0,65.03,0.258,65.21,0,65.39,0,65.57,0,65.75,0,65.93,0.109,66.11,0,66.29,0,66.47,0,66.65,0,66.83,0,67.01,0.011,67.19,0,67.37,0,67.55,0,67.73,0,67.91,0.002
240,m,64.1,0.001,64.3,0,64.5,0,64.7,0,64.9,0,65.1,0.004,65.3,0,65.5,0,65.7,0,65.9,0.012,66.1,0,66.3,0,66.5,0,66.7,0,66.9,0.019,67.1,0,67.3,0,67.5,0,67.7,0,67.9,0,68.1,0.066,68.3,0,68.5,0,68.7,0,68.9,0,69.1,0.155,69.3,0,69.5,0,69.7,0,69.9,0.258,70.1,0,70.3,0,70.5,0,70.7,0,70.9,0,71.1,0.228,71.3,0,71.5,0,71.7,0,71.9,0,72.1,0.194,72.3,0,72.5,0,72.7,0,72.9,0,73.1,0.06,73.3,0,73.5,0,73.7,0,73.9,0.003
270,k,69.08,0.002,69.24,0,69.4,0,69.56,0,69.72,0,69.88,0,70.04,0.01,70.2,0,70.36,0,70.52,0,70.68,0,70.84,0,71,0.04,71.16,0,71.32,0,71.48,0,71.64,0,71.8,0,71.96,0.081,72.12,0,72.28,0,72.44,0,72.6,0,72.76,0,72.92,0,73.08,0.167,73.24,0,73.4,0,73.56,0,73.72,0,73.88,0,74.04,0.217,74.2,0,74.36,0,74.52,0,74.68,0,74.84,0,75,0.272,75.16,0,75.32,0,75.48,0,75.64,0,75.8,0,75.96,0.195,76.12,0,76.28,0,76.44,0,76.6,0,76.76,0,76.92,0.016
